timestamp,model,graph,features,graph_features,runs,target,mae_mean,mae_std,mae_stderr,r2_mean,r2_std,status,error
2026-01-12T12:17:34.472655,lightgbm,us26,all,yes,20,avgHighestSlot,4.39,0.811,0.181,0.473,0.146,success,
2026-01-12T12:17:34.472665,lightgbm,us26,all,yes,20,sumOfSlots,84.212,11.467,2.564,0.726,0.075,success,
2026-01-12T12:17:34.472675,lightgbm,us26,all,yes,20,avgActiveTransceivers,3.216,0.49,0.109,0.597,0.185,success,
2026-01-12T12:17:38.589634,lightgbm,us26,all,no,20,highestSlot,21.127,3.067,0.686,-0.351,0.425,success,
2026-01-12T12:17:38.589669,lightgbm,us26,all,no,20,avgHighestSlot,6.086,0.932,0.208,-0.103,0.212,success,
2026-01-12T12:17:38.589679,lightgbm,us26,all,no,20,sumOfSlots,169.613,20.957,4.686,-0.103,0.167,success,
2026-01-12T12:17:38.589689,lightgbm,us26,all,no,20,avgActiveTransceivers,3.242,0.615,0.138,0.603,0.159,success,
2026-01-12T12:17:47.182483,lightgbm,both,basic,yes,20,highestSlot,14.623,1.976,0.442,0.64,0.082,success,
2026-01-12T12:17:47.182517,lightgbm,both,basic,yes,20,avgHighestSlot,3.653,0.359,0.08,0.499,0.093,success,
2026-01-12T12:17:47.182529,lightgbm,both,basic,yes,20,sumOfSlots,85.187,11.108,2.484,0.889,0.027,success,
2026-01-12T12:17:47.182538,lightgbm,both,basic,yes,20,avgActiveTransceivers,3.569,0.344,0.077,0.498,0.15,success,
2026-01-12T12:17:51.805254,lightgbm,both,basic,no,20,highestSlot,31.906,3.482,0.779,-0.416,0.294,success,
2026-01-12T12:17:51.805294,lightgbm,both,basic,no,20,avgHighestSlot,5.661,0.714,0.16,-0.219,0.25,success,
2026-01-12T12:17:51.805304,lightgbm,both,basic,no,20,sumOfSlots,319.618,41.393,9.256,-0.351,0.293,success,
2026-01-12T12:17:51.805316,lightgbm,both,basic,no,20,avgActiveTransceivers,3.44,0.348,0.078,0.531,0.134,success,
2026-01-12T12:18:00.949148,lightgbm,both,topology,yes,20,highestSlot,14.697,1.985,0.444,0.654,0.08,success,
2026-01-12T12:18:00.949185,lightgbm,both,topology,yes,20,avgHighestSlot,4.153,0.313,0.07,0.363,0.121,success,
2026-01-12T12:18:00.949196,lightgbm,both,topology,yes,20,sumOfSlots,118.681,18.473,4.131,0.782,0.054,success,
2026-01-12T12:18:00.949205,lightgbm,both,topology,yes,20,avgActiveTransceivers,5.941,0.597,0.133,-0.405,0.332,success,
2026-01-12T12:18:05.859285,lightgbm,both,topology,no,20,highestSlot,18.066,2.293,0.513,0.481,0.12,success,
